Product Name,Final Price,MRP,Discount,Ram,Display,Camera,Battery,Warranty,Review
MTR M400,₹890,"₹1,999",55% off,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,32MP Rear Camera,3000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,3.5
"REDMI 12 (Moonstone Silver, 128 GB)","₹9,999","₹14,999",33% off,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,4.2
"REDMI 12 (Jade Black, 128 GB)","₹9,999","₹14,999",33% off,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,4.2
"REDMI 12 (Pastel Blue, 128 GB)","₹9,999","₹14,999",33% off,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2
"POCO M5 (Icy Blue, 64 GB)","₹8,499","₹15,999",46% off,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP Depth Sensor + 2MP Macro Sensor | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,1 Year Warranty Provided By the Manufacturer from Date of Purchase,4.1
"realme C53 (Champion Gold, 128 GB)","₹9,999","₹11,999",16% off,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,108MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹9,499","₹14,999",36% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,6000 mAh Lithium Ion Battery,1 Year Warranty Provided By the Manufacturer from Date of Purchase,4.3
"realme C53 (Champion Black, 128 GB)","₹9,999","₹11,999",16% off,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,108MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.1
"POCO M5 (Power Black, 64 GB)","₹8,499","₹15,999",46% off,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP Depth Sensor + 2MP Macro Sensor | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹9,499","₹14,999",36% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,6000 mAh Lithium Ion Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.3
"Infinix NOTE 12i (Metaverse Blue, 64 GB)","₹9,499","₹12,999",26% off,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,17.02 cm (6.7 inch) Full HD+ AMOLED Display,50 MP + 2 MP + QVGA | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.2
"MOTOROLA g14 (Steel Gray, 128 GB)","₹9,999","₹12,999",23% off,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Domestic Warranty of 12 Months on Phone & 6 Months on Accessories,4
"Infinix NOTE 12i (Alpine White, 64 GB)","₹9,499","₹12,999",26% off,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,17.02 cm (6.7 inch) Full HD+ AMOLED Display,50 MP + 2 MP + QVGA | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.2
"REDMI A2 (Classic Black, 64 GB)","₹6,980","₹10,999",36% off,4 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) Display,8MP Rear Camera,5000 mAh Battery,1 Year Domestic Warranty,4.1
"REDMI A2 (Classic Black, 64 GB)","₹6,764","₹9,999",32% off,2 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) Display,8MP Rear Camera,5000 mAh Battery,Domestic Warranty 1 Year For Handset And 6 Month For Accessories,4.1
"REDMI A2 (Aqua Blue, 64 GB)","₹6,990","₹9,999",30% off,2 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) Display,8MP Rear Camera,5000 mAh Battery,Domestic Warranty 1Year For Handset And 6 Month For Accessories.,4.1
"MOTOROLA g14 (Pale Lilac, 128 GB)","₹9,999","₹12,999",23% off,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Domestic Warranty 1 Year For Handset And 6 Month For Accessories,4
"REDMI A2 (Sea Green, 64 GB)","₹7,051","₹10,999",35% off,4 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) Display,8MP Rear Camera,5000 mAh Battery,Domestic Warranty 1Year For Handset And 6 Month For Accessories.,4.1
"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)","₹7,960","₹11,999",33% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Battery,Domestic Warranty 1Year For Handset And 6 Month For Accessories.,4.1
"REDMI A2 (Aqua Blue, 64 GB)","₹7,014","₹10,999",36% off,4 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) Display,8MP Rear Camera,5000 mAh Battery,Domestic Warranty 1Year For Handset And 6 Month For Accessories.,4.1
"Infinix NOTE 12i (Force Black, 64 GB)","₹9,499","₹12,999",26% off,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,17.02 cm (6.7 inch) Full HD+ AMOLED Display,50 MP + 2 MP + QVGA | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,1 Year Replacement Guarantee for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Battery from the Date of Purchase,4.2
"MOTOROLA g13 (Lavender Blue, 128 GB)","₹9,999","₹13,999",28% off,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4
"MOTOROLA g14 (Sky Blue, 128 GB)","₹9,999","₹12,999",23% off,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,"12 Months brand Warranty , Domestic Only",4
"OPPO A17k (Blue, 64 GB)","₹9,499","₹12,999",26% off,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.66 cm (6.56 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Replacement Guarantee for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Battery from the Date of Purchase,4.5
"REDMI 12C (Lavender Purple, 64 GB)","₹8,345","₹13,999",40% off,4 GB RAM | 64 GB ROM,17.04 cm (6.71 inch) Display,50MP Rear Camera,5000 mAh Battery,Domestic Warranty 1 Year For Hnadset And 6 Month For Accessories,4.2
"REDMI 12C (Matte Black, 64 GB)","₹8,375","₹13,999",40% off,4 GB RAM | 64 GB ROM,17.04 cm (6.71 inch) Display,50MP Rear Camera,5000 mAh Battery,1 Year Warranty,4.2
MTR M400,₹890,"₹1,999",55% off,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,32MP Rear Camera,3000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3.5
"REDMI A2 (Sea Green, 64 GB)","₹6,990","₹9,999",30% off,2 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) Display,8MP Rear Camera,5000 mAh Battery,1 Year Warranty for Mobile and 6 Months for Accessories,4.1
"REDMI A2+ (?Aqua Blue, 64 GB)","₹7,996","₹11,999",33% off,4 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) Display,8MP Rear Camera,5000 mAh Battery,1 Year Warranty for Mobile and 6 Months for Accessories,4.1
"SAMSUNG Galaxy M04 (Light Green, 64 GB)","₹7,958","₹11,999",33% off,4 GB RAM | 64 GB ROM,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Battery,1 Year Handset Warranty and 6 Months Warranty on Accessories,4.1
"REDMI 12C (Royal Blue, 64 GB)","₹8,349","₹13,999",40% off,4 GB RAM | 64 GB ROM,17.04 cm (6.71 inch) Display,50MP Rear Camera,5000 mAh Battery,Domestic Warranty 1 Year For Hnadset And 6 Month For Accessories,4.2
"REDMI A2+ (Classic Black, 64 GB)","₹7,685","₹11,999",35% off,4 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) Display,8MP Rear Camera,5000 mAh Battery,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.1
"REDMI A2+ (Sea Green, 64 GB)","₹7,725","₹11,999",35% off,4 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) Display,8MP Rear Camera,5000 mAh Battery,1 Year Warranty,4.1
"SAMSUNG Galaxy A03 Core (Bronze, 32 GB)","₹6,879","₹10,499",34% off,2 GB RAM | 32 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.1
"REDMI 12C (Matte Black, 128 GB)","₹9,068","₹14,999",39% off,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,4.2
"OPPO A17k (Navy Blue, 64 GB)","₹9,499","₹12,999",26% off,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.66 cm (6.56 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Warranty for Mobile and 6 Months for Accessories,4.5
"vivo Y02t (Cosmic Grey, 64 GB)","₹9,499","₹15,999",40% off,4 GB RAM | 64 GB ROM,16.54 cm (6.51 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.2
"vivo Y02t (Sunset Gold, 64 GB)","₹9,499","₹15,999",40% off,4 GB RAM | 64 GB ROM,16.54 cm (6.51 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Handset Domestic Warranty and 6 Months Warranty on Accessories,4.2
"realme Narzo N53 (Feather Black, 64 GB)","₹9,694","₹10,999",11% off,4 GB RAM | 64 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box,4.2
"MOTOROLA g14 (Butter Cream, 128 GB)","₹9,999","₹12,999",23% off,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Domestic Warranty of 1 Year Available for handset and 6 month for Accessories.,4
"REDMI 12C (?Lavender Purple, 128 GB)","₹9,707","₹15,999",39% off,6 GB RAM | 128 GB ROM,17.04 cm (6.71 inch) Display,50MP Rear Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1
"REDMI 12C (Mint Green, 64 GB)","₹8,350","₹13,999",40% off,4 GB RAM | 64 GB ROM,17.04 cm (6.71 inch) Display,50MP Rear Camera,5000 mAh Battery,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.2
"REDMI 11 Prime (Peppy Purple, 64 GB)","₹9,499","₹14,999",36% off,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.2
"REDMI 12C (Mint Green, 128 GB)","₹9,042","₹14,999",39% off,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.2
"REDMI 12C (Lavender Purple, 128 GB)","₹8,950","₹14,999",40% off,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.2
"realme Narzo N53 (Feather Gold, 64 GB)","₹9,695","₹10,999",11% off,4 GB RAM | 64 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.2
"Tecno Spark Go 2023 6.56 HD+Display 13MP Dual Camera (Orange, 64 GB)","₹7,715","₹9,999",22% off,4 GB RAM | 64 GB ROM,16.66 cm (6.56 inch) Display,13MP Rear Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.1
"REDMI 12C (Royal Blue, 128 GB)","₹9,113","₹14,999",39% off,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.2
